timestamp,open,high,low,close,volume
1758288240,6709.25,6712.5,6709,6710,8425
1758288420,6709.75,6712.25,6706.5,6707.25,18490
1758288600,6707,6707.5,6700.25,6702,40373
1758288780,6702,6702,6696.75,6699,17893
1758288960,6699,6700.25,6697.5,6697.75,12433
1758289140,6697.5,6704.5,6697.25,6702,13517
1758289320,6702,6705.25,6698.75,6700.25,11870
1758289500,6700.5,6702.75,6699,6702.5,11239
1758289680,6702.75,6710.25,6702.25,6708,15554
1758289860,6708.25,6711.25,6708,6710,8477
1758290040,6710.25,6710.25,6706.75,6707.25,7875
1758290220,6707.25,6708.25,6703.75,6705.75,7400
1758290400,6705.5,6706.25,6703.25,6704,8637
1758290580,6704,6707.5,6703.25,6704.5,8269
1758290760,6704.75,6708.25,6704.75,6706.5,5852
1758290940,6706.5,6706.75,6702.75,6706,8444
1758291120,6706,6707.5,6704.25,6704.75,6134
1758291300,6704.75,6705.5,6702.75,6703,6935
1758291480,6702.75,6703.75,6700.75,6702.25,8395
1758291660,6702.25,6705.5,6702,6705.25,5475
1758291840,6705,6705.5,6702.75,6704.75,5956
1758292020,6704.75,6705.5,6702,6702.75,7451
1758292200,6702.75,6705.5,6701.75,6702.75,6216
1758292380,6703,6706,6702.75,6705,5314
1758292560,6705,6705.25,6701.75,6702.25,4977
1758292740,6702.25,6703,6698,6698.75,7320
1758292920,6698.75,6700,6697.25,6697.5,6603
1758293100,6697.5,6698.25,6693.25,6694.25,11627
1758293280,6694,6697,6693.5,6695.5,8418
1758293460,6695.25,6703.5,6695,6700.5,17847
1758293640,6700.5,6701.5,6696,6699.75,8615
1758293820,6699.75,6700.25,6697.5,6699.5,5352
1758294000,6699.5,6703.25,6697.5,6698,7794
1758294180,6698,6698.75,6694.25,6695.75,7189
1758294360,6695.5,6696.75,6694,6695,5340
1758294540,6695.25,6696.25,6693.25,6693.25,7261
1758294720,6693.5,6696,6692.75,6694,7196
1758294900,6694,6694.5,6692.25,6693,6632
1758295080,6692.75,6695.25,6692,6694.25,5947
1758295260,6694.25,6695.25,6690.25,6694.5,9198
1758295440,6694.5,6697.25,6690.25,6691.5,13842
1758295620,6691.5,6691.75,6690,6691,5125
1758295800,6691,6691.25,6687.25,6688.25,10275
1758295980,6688,6691.25,6688,6690.25,7469
1758296160,6690.25,6692.75,6689.5,6691.25,6006
1758296340,6691.25,6694.25,6690.75,6694,5541
